法人・施設名,住所,アクセス,仕事内容,サービス形態,給与,給与の備考,待遇,勤務時間,休日,長期休暇/特別休暇,url
社会福祉法人松江福祉会,島根県松江市千鳥町７０番地松江市総合福祉センター２階,"島根県松江市千鳥町７０番地松江市総合福祉センター２階
北松江線 松江しんじ湖温泉駅から徒歩で6分","２歳から就学前の発達障害等のある幼児への保育・療育支援を行います。
１日の生活の流れを身につけると同時に、集団生活に慣れるための業務です。（補助業務）",,"月給 183,000円 〜 198,000円",,"通勤手当：月額 21,500円 21500 マイカー通勤可否：可 駐車場 あり 昇給：なし 賞与：あり ",１日７時間４５分、週５日の勤務です。 休憩60分 時間外勤務：あり ,年間休日数 122日,,"
https://job-medley.com/cw/hw/5868833/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●小規模保育園
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく
職員にとっての「心の基地」を目指しています♪
私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5868876/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●小規模保育園
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく
職員にとっての「心の基地」を目指しています♪
私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",夜間保育：１９：００〜７：４５　毎週水曜日のみ　　※土曜日は通常開所のみ 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5868869/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●小規模保育園
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく
職員にとっての「心の基地」を目指しています♪
私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5868871/"
株式会社アイグラン,広島県広島市西区庚午中１－７－２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１－７－２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で9分
広電２号線(宮島線) 高須駅から徒歩で13分
広電２号線(宮島線) 草津駅から徒歩で14分",【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営●認可保育園●定員６０名●保育業務全般（主活動、オムツ交換、食事介助、清掃など）●社員用託児所完備（保育料や給食も無料）●子育て世代や未経験者・ブランクがある方も歓迎！安心できる「心の基地」を大切に、子どもたちが毎日笑顔でいられる保育園です！子どもたちも、保育士も毎日楽しく通える保育園を目指しています。是非、一緒に働いてみませんか？※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。,,"月給 183,000円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時30分〜16時30分 (2)8時30分〜17時30分 (3)10時30分〜19時30分 １６０～１７７時間／月（月によって異なる）シフト制勤務 休憩60分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5864264/"
社会福祉法人桐の葉会桐の葉保育園,青森県八戸市江陽一丁目１６－３,"青森県八戸市江陽一丁目１６－３
JR八戸線 小中野駅から徒歩で6分
JR八戸線 本八戸駅から徒歩で20分",◇乳幼児の保育業務・３歳未満児（０歳から２歳まで）の保育、３歳以上児の保育・オムツの取替えや食事、排泄、健康面の管理・その他付随する業務（多少の書類、パソコン入力あり）,,"月給 183,000円",,"通勤手当： 毎月 8,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時00分〜16時30分 (2)7時00分〜15時30分 (3)10時30分〜19時00分 （１）普通勤、（２）早番、（３）遅番のシフト制です。 休憩60分 時間外勤務：なし ,年間休日数 87日,,"
https://job-medley.com/cw/hw/5858191/"
済生会山口総合病院,山口県山口市緑町２－１１,"山口県山口市緑町２－１１
JR山口線 山口駅から徒歩で21分
JR山口線 湯田温泉駅から徒歩で22分","院内保育園における保育業務・園児（０～３歳未満児）の保育業務・春、夏、冬休み期間の児童・学童保育業務・園内の清掃、消毒
等≪仕事と子育てが両立しやすい求人≫",,"月給 183,000円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：なし ",(1)8時00分〜16時30分 (2)9時30分〜18時00分 休憩60分 時間外勤務：なし ,年間休日数 123日,,"
https://job-medley.com/cw/hw/5857980/"
一般社団法人聖凰,岡山県岡山市南区築港元町１３ー２５ＭＡＲＵＧＯビル２Ｆ,"岡山県岡山市南区築港元町１３ー２５ＭＡＲＵＧＯビル２Ｆ
JR宇野線 備前西市駅から車で17分","＊定員６０名の企業主導型保育所になります。・０～５歳児の保育と関連業務を担当していただきます。＊未経験の方、ブランクのある方応募可能です。
毎日の生活はもちろんのこと特にイベントは、子ども達と一緒に職員も楽しむ！ということを大切にしています。残業をできるだけ少なくし、休日も増やす努力をして、働きやすい職場を皆で創っていこうと取組んでいます。",,"月給 183,000円 〜 240,000円",,"通勤手当： 毎月 10,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時00分〜17時00分 他の時間帯もあり（シフト制） 休憩60分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5826624/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●企業内保育園
●一人ひとりとしっかり関われる小規模保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●専門講師が週１回リトミック実施
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての「心の基地」を目指しています。私たちといっしょに子供たちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844181/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園（病院にお勤めの方のお子様をお預かりします）
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての「心の基地」を目指しています
私たちといっしょに子供たちの想いを形にする保育園をつくりま
せんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)8時00分〜17時00分 (2)16時30分〜0時00分 (3)0時00分〜8時15分 １６０〜１７７時間／月（月によって異なる）　シフト勤務 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844260/"
