法人・施設名,住所,アクセス,仕事内容,サービス形態,給与,給与の備考,待遇,勤務時間,休日,長期休暇/特別休暇,url
社会福祉法人蒼生会藍住ひまわり保育園,徳島県板野郡藍住町勝瑞字西勝地２８５番地１,"徳島県板野郡藍住町勝瑞字西勝地２８５番地１
JR高徳線 勝瑞駅から徒歩で12分",０歳児から３歳児までの保育業務です。,,"月給 181,960円 〜 240,000円",,"通勤手当：月額 12,500円 12500 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)8時30分〜17時30分 ＊早番、遅番あります。 休憩60分 時間外勤務：なし ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5791684/"
株式会社ニチイ学館管理部,東京都千代田区神田駿河台４ー６御茶ノ水ソラシティ,"東京都千代田区神田駿河台４ー６御茶ノ水ソラシティ
東京メトロ千代田線 新御茶ノ水駅から徒歩で1分
JR中央線(快速) 御茶ノ水駅から徒歩で3分
JR中央・総武線 御茶ノ水駅から徒歩で3分","０～２歳、１９名定員の小規模保育園での保育業務です。【具体的な仕事内容】
◎ミルクやオムツ交換、着替え、食事、遊びなど、子どもの年齢に合わせて対応◎教材の検討、行事計画と実施、園便りの作成",,"月給 181,930円",,"通勤手当： 毎月 50,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)9時00分〜18時00分 (3)10時00分〜19時00分 （１）～（３）はシフト例 休憩60分 時間外勤務：あり ,年間休日数 122日,,"
https://job-medley.com/cw/hw/5805534/"
社会福祉法人小野保育協議会小野保育園,山口県防府市大字奈美７５０−１,"山口県防府市大字奈美７５０−１
JR山陽本線(岩国～門司) 防府駅から車で14分","・就学前の幼児を保育する。
・運動会や発表会の行事は土曜日に行い、日曜日・祭日の出勤はありません。",,"月給 181,900円 〜 199,000円",,"通勤手当：月額 7,000円 毎月 月額まで マイカー通勤可否：可 昇給：あり 賞与：あり ",(1)7時30分〜16時30分 (2)8時00分〜17時00分 (3)9時00分〜18時00分 休憩60分 時間外勤務：あり ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5460672/"
有限会社つくしのいち幼稚学園,高知県香南市野市町上岡２６０２－４,"高知県香南市野市町上岡２６０２－４
ごめん・なはり線 のいち駅から徒歩で23分",当園は認定こども園で、０歳児から５歳児まで定員は９５名です。こども達のペースに合わせた質の良い保育教育を提供したいと考えています。連携園のつくし保育園とも協力して子ども達のやる気を育てます。主な業務は複数担任ですので、他の保育士と協力して日々の保育補助をお願いします。＊勤務開始日は相談に応じます。,,"月給 181,800円",,"通勤手当：一定額 毎月 3,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)10時00分〜19時00分 実働８時間※特記事項欄参照 休憩60分 時間外勤務：なし ,年間休日数 122日,,"
https://job-medley.com/cw/hw/5809272/"
社会福祉法人三光会双葉保育園,山口県宇部市大字東岐波４５８－２,"山口県宇部市大字東岐波４５８－２
JR宇部線 岐波駅から徒歩で9分",〇乳幼児（０歳～６歳）の保育＊０歳児クラス（５人程度）、１～５歳児クラス（１０人程度）の担任もしくは副担任＊昼食、おやつ、お昼寝、トイレ、着替えなどのお世話＊絵本読み聞かせ、戸外遊び、お絵かき、工作、お遊戯などの活動,,"月給 181,800円 〜 192,900円",,"通勤手当： 毎月 14,600円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時30分〜16時30分 (2)8時00分〜17時00分 (3)9時00分〜18時00分 ※現在シフトは８パターンあり、変動することもありますので詳細は面接時に説明いたします。 休憩60分 時間外勤務：なし ,年間休日数 121日,,"
https://job-medley.com/cw/hw/5744279/"
学校法人旭進学園しろはと保育園,宮崎県宮崎市恒久５丁目１３－５,"宮崎県宮崎市恒久５丁目１３－５
JR日豊本線(佐伯～鹿児島中央) 南宮崎駅から徒歩で23分
JR宮崎空港線 南宮崎駅から徒歩で23分
JR日南線 南宮崎駅から徒歩で23分",・乳児、幼児の保育に係る業務全般に携わって頂きます。＊園児数５２名（定員６０名）＊保育士（９名）,,"月給 181,800円 〜 193,800円",,"通勤手当： 毎月 24,500円まで マイカー通勤可否：可 昇給： 賞与：なし ",(1)7時00分〜15時30分 (2)8時30分〜17時00分 (3)9時30分〜18時00分 就業時間は原則実働７．５時間のシフト制となります（シフト時間の詳細については面接時に説明いたします） 休憩60分 時間外勤務：あり ,年間休日数 104日,,"
https://job-medley.com/cw/hw/5744454/"
社会福祉法人甲南会甲南のぞみ保育園,滋賀県甲賀市甲南町稗谷２８３８,"滋賀県甲賀市甲南町稗谷２８３８
JR草津線 甲南駅から徒歩で17分","保育園での生活（食事・排泄・お昼寝・着替えなど）やあそびを通して子ども（０歳〜６歳）と関わり、健やかな成長を支えるお仕事です。
＊園行事や職員のリクレーションなど、みんなで協力し合い、楽し
く取り組んでいます。保育士、看護師、栄養士、調理師等、職種
を越えて子どもの成長を共に願い、喜び合える元気で明るい職場
です。
＊一時預かり保育、延長保育、障がい児保育実施",,"月給 181,780円 〜 244,700円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)7時15分〜16時00分 (2)8時30分〜17時15分 (3)10時15分〜19時00分 月平均時間外は６時間 休憩45分 時間外勤務：あり ,年間休日数 115日,,"
https://job-medley.com/cw/hw/5770108/"
社会福祉法人甲南会甲南のぞみ保育園,滋賀県甲賀市甲南町稗谷２８３８,"滋賀県甲賀市甲南町稗谷２８３８
JR草津線 甲南駅から徒歩で17分","・保育園での生活（食事・排泄・お昼寝・着替えなど）やあそびを通して
子ども（０歳〜６歳）と関わり、健やかな成長を支えるお仕事です。
・園行事や職員のリクレーションなど、みんなで協力し合い、楽しく取り組ん
でいます。保育士、看護師、栄養士、調理師等、職種を越えて子どもの成長
を共に願い、喜び合える元気で明るい職場です。
＊一時預り保育、延長保育、障がい児保育実施
※ワークライフバランス登録推進企業に登録しており、一人一人の職員さんが
居心地よく働きやすい職場づくりに取り組んでいます。",,"月給 181,780円 〜 194,430円",,"通勤手当：月額 20,000円 毎月 月額まで マイカー通勤可否：可 駐車場：有（無料） 昇給：あり 賞与：あり ",(1)7時15分〜16時00分 (2)7時30分〜16時15分 (3)8時00分〜16時45分 休憩45分 時間外勤務：あり ,年間休日数 115日,,"
https://job-medley.com/cw/hw/5501283/"
合同会社ＳＡＮＳＵＩ,北海道札幌市中央区北２条東８丁目５番地１０ライオンズ札幌通り８０５号,"北海道札幌市中央区北２条東８丁目５番地１０ライオンズ札幌通り８０５号
JR函館本線(小樽～旭川) 苗穂駅から徒歩で10分
JR千歳線 苗穂駅から徒歩で10分
札幌市営地下鉄東西線 バスセンター前駅から徒歩で14分",定員４０名（生後９０日～就学前まで）の認可保育園にて、当園の方針に基づき、各年齢別に合った保育業務全般を行っていただきます。・調乳、授乳、食事、着替え等の補助・排泄補助、おむつの取り替え・室内の整理整頓、清掃・各行事、レクリエーション等の企画、準備、実施・園児の体調管理・その他、上記に付帯する業務を行う〈急募〉＊雇用期間満了後、１年毎更新の可能性あり,,"月給 181,748円 〜 197,317円",,"通勤手当： 毎月 28,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",＊就業時間内で、実働８時間のシフト制勤務 休憩60分 時間外勤務：あり ,年間休日数 122日,,"
https://job-medley.com/cw/hw/5771604/"
株式会社ＹＯＬＯ,愛知県豊橋市牧野町字北原７－１,"愛知県豊橋市牧野町字北原７－１
豊橋鉄道渥美線 南栄駅から徒歩で25分",０歳から２歳までの未満児さんの保育をして頂きます。◇ハローワークの紹介状が必要です。,,"月給 181,720円 〜 206,100円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時30分〜16時30分 (2)8時00分〜17時00分 (3)8時30分〜17時30分 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5725351/"
社会福祉法人呉同済義会,広島県呉市中央５丁目１２－２１呉市福祉会館内３Ｆ,"広島県呉市中央５丁目１２－２１呉市福祉会館内３Ｆ
JR呉線 呉駅から徒歩で17分",・２歳から１８歳までの児童に対する日常生活（食事・入浴・洗濯・清掃・学習）の支援をおこないます。※今回の採用募集については、女子児童のお世話をお願いします。・夜勤は月３～４回程度です。＊応募を希望する場合は、ハローワーク窓口までお越しください。,,"月給 181,700円 〜 188,500円",,"通勤手当： 毎月 15,100円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)9時00分〜18時00分 (2)14時00分〜23時00分 (3)16時00分〜10時00分 夜勤を含むローテーション勤務（３）休憩３００分 休憩60分 時間外勤務：あり ,年間休日数 108日,,"
https://job-medley.com/cw/hw/5801399/"
社会福祉法人明成会ひばり保育園,栃木県宇都宮市竹林町５５０－２,"栃木県宇都宮市竹林町５５０－２
宇都宮線 宇都宮駅から車で9分","〇乳幼児の保育のお仕事です。〇保育方針・・子ども一人ひとりの発達及び個性を尊重し、地域との交流を深め基本的な生活習慣の確立を通して心身の健康を培う〇保育方針・・心も体も元気な子
きちんとあいさつができる子※定員８０名の保育園です。※いつでも見学受け付けています！",,"月給 181,600円 〜 200,650円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",シフト制 休憩60分 時間外勤務：あり ,年間休日数 121日,,"
https://job-medley.com/cw/hw/5838244/"
社会福祉法人尚徳福祉会,鳥取県米子市榎原１８８９−６◇,"鳥取県米子市榎原１８８９−６◇
JR山陰本線(豊岡～米子) 米子駅から車で9分","沼袋西保育園内での保育士としての勤務。
子どもの保育全般。
＊定員９９名の保育園
＊ハローワークの窓口で事業所ホームページもご覧いただけます
のでご利用ください。",,"月給 181,600円 〜 266,000円",,"通勤手当：月額 47,000円 47000 マイカー通勤可否：可 駐車場 なし 昇給：あり 賞与：あり ",(1)7時15分〜16時15分 （１）はシフト代表時間例 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5832778/"
社会福祉法人尚徳福祉会,鳥取県米子市榎原１８８９−６◇,"鳥取県米子市榎原１８８９−６◇
JR山陰本線(豊岡～米子) 米子駅から車で9分","平成２９年４月より民営化開園した馬橋保育園での
保育士としての業務。
＊定員９９名の保育園（０〜５歳児）
＊採用時期：即日又は応相談",,"月給 181,600円 〜 266,000円",,"通勤手当：月額 47,000円 47000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)7時30分〜16時30分 シフト制 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5832781/"
社会福祉法人藤美福祉会認定こども園菊水元町第二保育園,北海道札幌市白石区菊水元町９条２丁目８－８,"北海道札幌市白石区菊水元町９条２丁目８－８
JR函館本線(小樽～旭川) 白石駅から車で10分","産休代替の臨時職員として、定員１００名の保育所型認定こども園にて生後５７日目～就学前までの子どもの保育業務を行っていただきます。＊早朝勤務の場合、タクシー利用可。＊採用日から令和６年１０月３１日迄は原則更新。
令和６年１１月１日以降は条件付きで更新の可能性あり。",,"月給 181,600円",,"通勤手当： 毎月 28,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",就業時間内で実働７時間のシフト制勤務。 休憩60分 時間外勤務：あり ,年間休日数 100日,,"
https://job-medley.com/cw/hw/5737559/"
社会福祉法人明成会ひばり保育園,栃木県宇都宮市竹林町５５０−２,"栃木県宇都宮市竹林町５５０−２
宇都宮線 宇都宮駅から車で9分","乳幼児の保育のお仕事です。
・保育方針・・・遊びの中から豊かな感性、創造性を養う。
地域との関わりの中で協調性や思いやりの心を育てる。
・保育目標・・・心も体も元気な子、きちんとあいさつができる子。
※定員８０名の保育園です
※いつでも見学受け付けています！",,"月給 181,600円 〜 184,600円",,"通勤手当：月額 20,000円 毎月 月額まで マイカー通勤可否：可 駐車場有：有料３０００円／月 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時30分〜17時30分 (3)10時00分〜19時00分 休憩60分 時間外勤務：あり ,年間休日数 121日,,"
https://job-medley.com/cw/hw/5690411/"
社会福祉法人明成会しらとり保育園,栃木県宇都宮市岩曽町１１０９,"栃木県宇都宮市岩曽町１１０９
宇都宮線 宇都宮駅から車で10分","乳幼児の保育のお仕事です。
・教育方針・・・遊びの中から豊かな感性、創造性を養う。
地域との関わりの中で協調性や思いやりの心を育てる。
・教育目標・・・心も体も元気な子、きちんとあいさつのできる子。
※定員１２０名の保育園です
※いつでも見学受け付けています！",,"月給 181,600円 〜 184,600円",,"通勤手当：月額 20,000円 毎月 月額まで マイカー通勤可否：可 駐車場有：有料５０００円／月 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時30分〜17時30分 (3)10時00分〜19時00分 休憩60分 時間外勤務：あり ,年間休日数 121日,,"
https://job-medley.com/cw/hw/5690413/"
社会福祉法人安岐の郷,大分県国東市安岐町下山口５８番地,"大分県国東市安岐町下山口５８番地
JR日豊本線(門司港～佐伯) 杵築駅から車で18分","事業所内保育事業所「すこやかクラブ鈴鳴荘」における保育業務全般
３６５日開園の為、交替制全シフト
【おおいた子育て応援団】
【働き方改革関連認定企業（くるみん）】
※応募には、ハローワークの紹介状が必要です",,"月給 181,500円 〜 216,500円",,"通勤手当：月額 31,600円 31600 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)7時30分〜16時30分 (2)8時30分〜17時30分 (3)9時30分〜18時30分 ＊交替制 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5874814/"
社会福祉法人土佐市社会福祉事業団,高知県土佐市高岡町甲１７９２－２,"高知県土佐市高岡町甲１７９２－２
JR土讃線 波川駅から車で14分","◆保育士業務に従事していただきます。
◆担当業務及び就業場所は採用後、決定します。",,"月給 181,472円",,"通勤手当： 毎月 21,600円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時30分〜16時30分 (2)8時30分〜17時30分 (3)9時30分〜18時30分 ローテーションにより 休憩60分 時間外勤務：あり ,年間休日数 123日,,"
https://job-medley.com/cw/hw/5826024/"
社会福祉法人るんびに保育園,山口県宇部市昭和町３丁目４番１８号,"山口県宇部市昭和町３丁目４番１８号
JR宇部線 宇部岬駅から徒歩で7分
JR宇部線 東新川駅から徒歩で19分
JR宇部線 草江駅から徒歩で26分","○３歳未満児組（３クラス編成）の保育全般・園児定員：１８名・保育士：
３名",,"月給 181,455円",,"通勤手当： 毎月 6,200円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時00分〜16時30分 (2)7時00分〜15時30分 (3)10時30分〜19時00分 交替制 休憩60分 時間外勤務：なし ,年間休日数 88日,,"
https://job-medley.com/cw/hw/5809014/"
社会福祉法人松栄会ゆりか保育園,福岡県福岡市早良区原４丁目１５－１,"福岡県福岡市早良区原４丁目１５－１
福岡市営地下鉄空港線 室見駅から徒歩で19分
福岡市営地下鉄空港線 藤崎駅から徒歩で24分","保育業務園児の個人記録等書類作成＊本園定員２３０名
分園定員２０名",,"月給 181,440円 〜 190,000円",,"通勤手当： 毎月 6,500円まで マイカー通勤可否：可 昇給： 賞与：なし ",(1)9時00分〜18時00分 (2)8時00分〜17時00分 上記時間を基本とし、週４０時間以内に調整＊勤務時間に応じて休憩時間は法定通り付与＊勤務時間は上記（１）または（２）のいずれか 休憩60分 時間外勤務：なし ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5765697/"
株式会社ニチイ学館管理部,東京都千代田区神田駿河台４ー６御茶ノ水ソラシティ,"東京都千代田区神田駿河台４ー６御茶ノ水ソラシティ
東京メトロ千代田線 新御茶ノ水駅から徒歩で1分
JR中央線(快速) 御茶ノ水駅から徒歩で2分
JR中央・総武線 御茶ノ水駅から徒歩で2分","【具体的な仕事内容】
主に０〜２歳の保育業務全般
◎ミルクやオムツ交換、着替え、食事、遊びなど、子どもの年齢に合わせて対応
◎教材の検討、行事計画と実施、園便りの作成
◎保護者対応
◎環境整備
※保育記録などはＩＣＴシステムを導入しており業務の効率化を図っています。
『ＳＡＰＰＯＲＯ保育園ミーティング２０２３年９月参加予定』",,"月給 181,430円",,"通勤手当：月額 50,000円 50000 マイカー通勤可否：可 駐車場 なし 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)9時00分〜18時00分 (3)10時00分〜19時00分 （１）〜（３）はシフト例 休憩60分 時間外勤務：あり ,年間休日数 122日,,"
https://job-medley.com/cw/hw/5729070/"
福島市役所こども未来部幼稚園・保育課,福島県福島市森合町１０番１号,"福島県福島市森合町１０番１号
福島交通飯坂線 曽根田駅から徒歩で8分
福島交通飯坂線 美術館図書館前駅から徒歩で13分
阿武隈急行線 福島駅から徒歩で13分",乳幼児（０歳児から５歳児）の保育および保育施設運営のための業務全般,,"月給 181,400円",,"通勤手当： 毎月 38,010円まで マイカー通勤可否：可 昇給： 賞与：あり ",「又は」の中で、シフトによる、７時間４５分の勤務となります。配属先により時間は異なります。 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5840469/"
社会福祉法人竜谷保育会,北海道帯広市東３条南５丁目５,"北海道帯広市東３条南５丁目５
JR根室本線(新得～釧路) 帯広駅から徒歩で23分",鉄南保育園での保育業務（園児数１５０名、クラス数１１、保育士１９名、補助保育士１７名）○異年齢との関りを通じて思いやりの心を大切に、ともに育ちあう保育を進めています。○保育士資格はあるが実務経験がない方、ブランクのある方も、明るい職場で一緒に働きましょう。,,"月給 181,400円",,"通勤手当：一定額 毎月 3,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時30分〜16時30分 (2)9時00分〜17時00分 (3)9時30分〜17時30分 ＊土曜日は４時間のシフト制＊週３９時間労働です。 休憩60分 時間外勤務：あり ,年間休日数 77日,,"
https://job-medley.com/cw/hw/5824464/"
社会福祉法人竜谷保育会藤花保育園,北海道帯広市西６条南２丁目１１番地,"北海道帯広市西６条南２丁目１１番地
JR根室本線(新得～釧路) 帯広駅から徒歩で22分",当園において、保育士のお仕事に従事していただきます。一斉保育ではなく、少人数・グループでの保育をしています。クラスは正職員・パート保育士の２名以上で構成しています。元気でかわいい子ども達と一緒に過ごしませんか？＊保育経験がない方も大歓迎です！,,"月給 181,400円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,(1)7時00分〜14時30分 (2)8時30分〜16時30分 ＊土曜日は４時間のシフト制＊週３９時間労働です。 休憩60分 時間外勤務：あり ,年間休日数 74日,,"
https://job-medley.com/cw/hw/5777798/"
社会福祉法人大沢愛育会大沢保育園,岩手県下閉伊郡山田町大沢第８地割１９番地２,"岩手県下閉伊郡山田町大沢第８地割１９番地２
三陸鉄道リアス線 陸中山田駅から車で6分","０～６歳児までの保育園に入園している乳幼児の保育業務に従事していただきます。・日常の遊び
・保育記録作成・お昼寝の見守り等・現在は３４名の園児を６名で対応しております",,"月給 181,200円 〜 191,200円",,"通勤手当： 毎月 12,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)9時00分〜18時00分 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5771687/"
社会福祉法人緑風福祉会高畑保育園,福岡県柳川市三橋町高畑１２,"福岡県柳川市三橋町高畑１２
西鉄天神大牟田線 矢加部駅から徒歩で4分
西鉄天神大牟田線 西鉄柳川駅から徒歩で10分",○クラス担任の保育補助業務（定員１２０名）,,"月給 181,200円",,"通勤手当： 毎月 6,500円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時00分〜17時00分 (2)7時00分〜16時00分 (3)10時00分〜19時00分 （１）通常勤務（２）早出勤務（３）遅出勤務＊早出・遅出勤務は、週に１回程度お願いします。 休憩60分 時間外勤務：なし ,年間休日数 108日,,"
https://job-medley.com/cw/hw/5734807/"
社会福祉法人さくら福祉会向陽保育園,埼玉県所沢市向陽町２１１９－１,"埼玉県所沢市向陽町２１１９－１
西武新宿線 新所沢駅から徒歩で18分
西武池袋線 小手指駅から徒歩で20分",＊０歳から就学前の園児の保育、教育等,,"月給 181,164円 〜 275,302円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,(1)8時30分〜17時30分 ※就業時間（１）は通常勤務時間です。　交代勤務制ですので、７時から１９時の間の８時間勤務で　お願いします。 休憩60分 時間外勤務：なし ,年間休日数 119日,,"
https://job-medley.com/cw/hw/5900261/"
社会福祉法人乙供福祉会乙供保育園,青森県上北郡東北町字乙供３１,"青森県上北郡東北町字乙供３１
青い森鉄道線 乙供駅から徒歩で8分","・保育業務
・保育園行事時の計画・立案・担当
・園舎内外の整備補助",,"月給 181,102円 〜 183,434円",,"通勤手当：月額 2,100円 毎月 月額まで マイカー通勤可否：可 隣接地数か所に無料駐車場あり。 昇給：あり 賞与：あり ",(1)8時00分〜17時00分 (2)7時00分〜16時00分 (3)9時30分〜18時30分 休憩60分 時間外勤務：なし ,年間休日数 106日,,"
https://job-medley.com/cw/hw/5857413/"
社会福祉法人慈光保育園,鹿児島県指宿市山川岡児ヶ水１５−３,"鹿児島県指宿市山川岡児ヶ水１５−３
JR指宿枕崎線 西大山駅から徒歩で25分","○下記の業務に従事していただきます。
・０歳〜６歳までの乳幼児の保育。
（お遊び、お片付け、お着替え、食事介助、お昼寝、記録等）
＊園児定員６０名（６クラス）",,"月給 181,067円 〜 274,400円",,通勤手当： マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ,(1)8時00分〜18時00分 (2)9時00分〜18時00分 (3)7時00分〜18時00分 変形労働時間制により週の労働時間を法定労働時間範囲内に設定する。　１日の勤務時間が長い分、月の休日日数を多く設けています。 休憩60分 時間外勤務：あり ,年間休日数 130日,,"
https://job-medley.com/cw/hw/5749268/"
社会福祉法人みやび,奈良県生駒市東生駒４丁目３９８－２８０「ソフィア東生駒こども園」,"奈良県生駒市東生駒４丁目３９８－２８０「ソフィア東生駒こども園」
近鉄生駒線 一分駅から徒歩で14分
近鉄生駒線 菜畑駅から徒歩で18分
近鉄奈良線 東生駒駅から徒歩で20分","近鉄生駒駅前にある定員１９名の小規模保育園です。・０才児～２才児クラスを担当して下さる方を募集します。・保育時間は７：３０～１９：３０でシフトを組みます。＊ブランクのある方、未経験の方も丁寧に指導しますので、安心
してご応募ください。＊東生駒駅近くにある本園（ソフィア東生駒こども園）も同時に
募集しています。",,"月給 181,050円 〜 204,050円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：不可 昇給： 賞与：なし ",休憩60分 時間外勤務：あり ,年間休日数 125日,,"
https://job-medley.com/cw/hw/5835351/"
株式会社ヒューモ,広島県広島市中区紙屋町２丁目２－２紙屋町ビル９Ｆ,"広島県広島市中区紙屋町２丁目２－２紙屋町ビル９Ｆ
広電２号線(宮島線) 紙屋町西駅から徒歩で2分
広電３号線 紙屋町西駅から徒歩で2分
広電６号線(江波線) 紙屋町西駅から徒歩で2分","◆小規模保育園での保育業務
保育業務については、日々の園児保育、児童表・指導案の作成、制作について、職員が協力し合い作成をしています。
また、ワークライフバランスを重視し、仕事と休みのメリハリのあるシフトを職員間で話し合い実施しています。",,"月給 181,000円 〜 198,000円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,(1)7時30分〜16時30分 (2)9時30分〜18時30分 交替制（シフト制） 休憩60分 時間外勤務：なし ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5859272/"
七音保育園,大分県中津市大字永添２６７５番地３,"大分県中津市大字永添２６７５番地３
JR日豊本線(門司港～佐伯) 中津駅から車で10分",３０名定員の企業主導型保育施設にて０歳～就学前の子供の保育・教育業務全般を行います。,,"月給 181,000円 〜 234,000円",,"通勤手当： 毎月 10,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時30分〜16時30分 (2)8時30分〜17時30分 (3)9時30分〜18時30分 休憩60分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5835689/"
医療法人はらだ歯科・矯正歯科,山口県下関市清末鞍馬２丁目２－４０,"山口県下関市清末鞍馬２丁目２－４０
JR山陽本線(岩国～門司) 小月駅から徒歩で11分","○託児業務＊患者様治療中のお子様の託児〇クリーンスタッフ＊診療器具の洗浄、消毒、滅菌、清掃等※患者診療中のお子様の保育をサービスします。
それ以外の時間は器具洗浄等クリーンスタッフとしての業務☆キッズルームを完備し、託児サービスを行います。
保育士の資格ある方を募集します。",,"月給 181,000円 〜 193,000円",,"通勤手当： 毎月 10,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)9時00分〜18時00分 原則として９時から１８時ですが１０時から１９時の就業形態も可能です。 休憩60分 時間外勤務：あり ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5818504/"
株式会社山田商会,愛知県名古屋市熱田区桜田町１９番２１号,"愛知県名古屋市熱田区桜田町１９番２１号
名鉄名古屋本線 金山駅から徒歩で11分
名鉄常滑線 金山駅から徒歩で11分
名古屋市営地下鉄名城線 金山駅から徒歩で11分","◆令和４年４月より、名古屋市認可施設になりました！◆０～２歳児の定員１０名の事業所内託児所での保育を
していただきます。◆家庭的なゆったりとした雰囲気のある託児所で、現在４名の
保育士と１名の調理師が活躍。１人で１～２人の子どもを
見ていくため、しっかりと子ども達一人ひとりと向き合える
お仕事です。＊応募希望の方は、ハローワークから「紹介状」の交付を
受けてください。",,"月給 181,000円 〜 226,000円",,"通勤手当： 毎月 50,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",(1)8時00分〜17時00分 (2)9時00分〜18時00分 (3)10時00分〜19時00分 託児所受け入れ時間に伴い、シフト制で対応。 休憩60分 時間外勤務：あり ,年間休日数 117日,,"
https://job-medley.com/cw/hw/5761064/"
医療法人星陵会,宮城県仙台市青葉区木町通２丁目４－４５,"宮城県仙台市青葉区木町通２丁目４－４５
仙台市営地下鉄南北線 北四番丁駅から徒歩で9分
JR仙山線 北仙台駅から徒歩で18分
仙台市営地下鉄南北線 勾当台公園駅から徒歩で18分",※青葉区郷六にある介護老人保健施設内の企業主導型保育所として２０１８年８月に開園しました。※預かる子どもの人数が少ないため、アットホームな雰囲気の中で子どもたちと一緒に過ごしながら保育業務全般、その他保育に伴う事務業務等を行っていただきます。＊ブランクのある方のご応募も歓迎致します。＊見学も受付けておりますのでお気軽にお問い合わせ下さい。,,"月給 181,000円 〜 230,000円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",現在は、８時３０分～１７時３０分のみの就業時間となっています。 休憩60分 時間外勤務：あり ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5745044/"
学校法人幌北学園,北海道札幌市中央区大通西５丁目１‐１桂和大通ビル３８９階,"北海道札幌市中央区大通西５丁目１‐１桂和大通ビル３８９階
札幌市電山鼻線 西４丁目駅から徒歩で2分
札幌市電山鼻線 狸小路駅から徒歩で5分
札幌市営地下鉄東西線 大通駅から徒歩で4分","クラス担任のサポートを行っていただきます。＊週案作成などの事務作業はありません。＊時間固定勤務なので、子育てやプライベートとの
両立がしやすいポジションです。＊入職時期：２０２３年７月以降随時＜就業場所＞
認定こども園はなぞの（札幌市北区新川１条２丁目）
地上から屋上園庭まで続く大きなスロープが特徴的な園舎。
子どもたちと一緒に日々ワクワクできる環境です。『ＳＡＰＰＯＲＯ保育園ミーティング２０２３年９月参加予定』",,"月給 181,000円 〜 209,000円",,"通勤手当： 毎月 23,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",実働８時間の時間固定勤務例８：３０～１７：３０、９：００～１８：００＊ご希望の時間帯を履歴書に記載してください。 休憩60分 時間外勤務：あり ,年間休日数 117日,,"
https://job-medley.com/cw/hw/5735474/"
