法人・施設名,住所,アクセス,仕事内容,サービス形態,給与,給与の備考,待遇,勤務時間,休日,長期休暇/特別休暇,url
特定非営利活動法人そらら,埼玉県春日部市中央２丁目１４−７,"埼玉県春日部市中央２丁目１４−７
東武伊勢崎線 春日部駅から徒歩で6分
東武野田線 春日部駅から徒歩で6分
東武野田線 八木崎駅から徒歩で13分","☆「すきなことをしごとにする」そんな場所がここにあります。
「はれのひも、くもりのひも、あめのひも、まいにちがたのしい。」
そんな保育園だからです。
こども達の成長、そして大人の成長に一緒に種をまきませんか？
◎仕事の内容は、「かすかべそらら保育園」（０〜２歳児）「おかだわんぱく
の森保育園」（０〜５歳児）、病児・病後児保育（０〜小学校６年生）の
元気いっぱいの子ども達と一緒に遊び、楽しむことです。
♪ＩＣＴなどを導入し、業務負担を軽減し、こども達に寄り添える保育を
展開しています。",,"月給 210,000円",,"通勤手当：月額 30,000円 毎月 月額まで マイカー通勤可否：可 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)10時00分〜19時00分 (3)12時00分〜21時00分 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5605411/"
Ｂａｙｃｅｓｓ株式会社,神奈川県横浜市中区弁天通３−４３−１サングレイス関内２階,"神奈川県横浜市中区弁天通３−４３−１サングレイス関内２階
みなとみらい線 馬車道駅から徒歩で5分
ブルーライン 関内駅から徒歩で4分
みなとみらい線 日本大通り駅から徒歩で7分","横浜市中区にあるハーバーキッズ保育園にて
保育士業務全般をお願いします。
（主な業務）
おむつ替え、食事の介助、各種書類など保育業務全般をお願いします。
持ち帰り業務は一切ありません。
定員数：４５名定員（０から５歳児クラスのお預かり）
開園時間：７：３０から２０：３０（延長保育なし）
ご自身のお子様をお預けすることも可能です。
保育料３７，０００円／月",,"月給 210,000円",,"通勤手当：月額 20,000円 毎月 月額まで マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)7時45分〜16時45分 (2)9時30分〜18時30分 休憩60分 時間外勤務：あり ,年間休日数 130日,,"
https://job-medley.com/cw/hw/5450519/"
Ｂａｙｃｅｓｓ株式会社,神奈川県横浜市中区弁天通３−４３−１サングレイス関内２階,"神奈川県横浜市中区弁天通３−４３−１サングレイス関内２階
みなとみらい線 馬車道駅から徒歩で5分
ブルーライン 関内駅から徒歩で4分
みなとみらい線 日本大通り駅から徒歩で7分","横浜市西区にあるハーバーキッズ保育園みなとみらいにて
保育士業務全般をお願いします。
（主な業務）
おむつ替え、食事の介助、各種書類など保育業務全般を
お願いします。持ち帰り業務は一切ありません。
定員数：３６名定員（０から２歳児クラスのお預かり）
開園時間：７：３０から２０：３０（延長保育なし）
ご自身のお子様をお預けすることも可能です。
保育料３７，０００円／月",,"月給 210,000円",,"通勤手当：月額 20,000円 毎月 月額まで マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)7時45分〜16時45分 (2)9時30分〜18時30分 休憩60分 時間外勤務：あり ,年間休日数 130日,,"
https://job-medley.com/cw/hw/5455575/"
Ｂａｙｃｅｓｓ株式会社,神奈川県横浜市中区弁天通３−４３−１サングレイス関内２階,"神奈川県横浜市中区弁天通３−４３−１サングレイス関内２階
みなとみらい線 馬車道駅から徒歩で5分
ブルーライン 関内駅から徒歩で4分
みなとみらい線 日本大通り駅から徒歩で7分","横浜市西区にあるハーバーキッズ保育園みなとみらいにて
保育士業務全般をお願いします。
（主な業務）
おむつ替え、食事の介助、各種書類など保育業務全般を
お願いします。持ち帰り業務は一切ありません。
定員数：３６名定員（０から２歳児クラスのお預かり）
開園時間：７：３０から２０：３０（延長保育なし）
ご自身のお子様をお預けすることも可能です。
保育料３７，０００円／月",,"月給 210,000円",,"通勤手当：月額 20,000円 毎月 月額まで マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)7時45分〜16時45分 (2)9時30分〜18時30分 休憩60分 時間外勤務：あり ,年間休日数 130日,,"
https://job-medley.com/cw/hw/5252444/"
こども学園園長井口正彦,東京都東大和市奈良橋２−４０９,"東京都東大和市奈良橋２−４０９
多摩モノレール 上北台駅から徒歩で25分
西武多摩湖線 武蔵大和駅から徒歩で23分","クラス担任・クラス担任補助業務
乳幼児の心身を育むお仕事です。「心と心のふれあいの保育」をスローガンに職員は温かいひとつの家族のような職場です。こどもの主体性を重視して、一人・ひとりに寄り添う保育を行っています。あなたの今までの経験を反映してより良い保育をしたい方を募集しています。
※年間数日、午前保育があるため、４時間の就業時間勤務があります。",,"月給 210,000円 〜 215,000円",,通勤手当： マイカー通勤可否：可 園に職員駐車場有り／特記事項参照 昇給：あり 賞与：あり ,(1)8時30分〜17時00分 (2)7時30分〜16時00分 (3)9時30分〜18時00分 休憩60分 時間外勤務：あり ,年間休日数 111日,,"
https://job-medley.com/cw/hw/5247560/"
一般社団法人からふる乙訓重心児童デイからふる・ぶらんしゅ,京都府向日市上植野町切ノ口６番地の１ベル・ウィッシュ上植野１階,"京都府向日市上植野町切ノ口６番地の１ベル・ウィッシュ上植野１階
阪急京都本線 西向日駅から徒歩で5分","乙訓地域唯一の重症心身障がい児対象の児童発達支援（未就学児対象）と放課後等デイサービス（学齢児対象）において、子どもたちの保育・療育・生活支援全般を行っていただく仕事です。
障がいの重い子どもたちの発達はゆっくりですが、どの子も確実に成長していきます。そんな子どもたちの小さな変化を一緒に喜んでいただける方にピッタリのお仕事です。少人数対象で、医療職も多数在籍していますので、重症心身障がい児の療育経験がない方も、ゆっくり安心してお仕事していただけます。保育士としての専門性を活かし、経験豊富な多職種とチームで子どもたちの成長を支えていきましょう。",,"月給 209,871円 〜 268,068円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",(1)9時30分〜18時00分 ＊おおむね９：３０～１８：００の７．５時間勤務＊シフトにより勤務時間変動することまれにあり 休憩60分 時間外勤務：なし ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5807697/"
ジャパンヒューマンヘルス株式会社,神奈川県川崎市多摩区栗谷２‐１８‐８,"神奈川県川崎市多摩区栗谷２‐１８‐８
小田急線 読売ランド前駅から徒歩で16分
小田急線 生田駅から徒歩で14分
小田急線 百合ヶ丘駅から車で10分","＊定員１５０名
０歳児〜の保育園です。
＊１学年
各３０名程度
☆自然と木のぬくもりに囲まれた環境で、のびのび働けます。",,"月給 209,770円 〜 217,160円",,"通勤手当：月額 25,000円 毎月 月額まで マイカー通勤可否：可 駐車場有 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)9時00分〜18時00分 (3)11時00分〜20時00分 休憩60分 時間外勤務：あり ,年間休日数 114日,,"
https://job-medley.com/cw/hw/5872207/"
ジャパンヒューマンヘルス株式会社,神奈川県川崎市多摩区栗谷２‐１８‐８,"神奈川県川崎市多摩区栗谷２‐１８‐８
小田急線 読売ランド前駅から徒歩で16分
小田急線 生田駅から徒歩で14分
小田急線 百合ヶ丘駅から車で10分","＊定員１５０名
０歳児〜の保育園です。
＊１学年
各３０名程度
☆自然と木のぬくもりに囲まれた環境で、のびのび働けます。",,"月給 209,770円 〜 217,160円",,"通勤手当：月額 25,000円 毎月 月額まで マイカー通勤可否：可 駐車場有 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)9時00分〜18時00分 (3)11時00分〜20時00分 休憩60分 時間外勤務：あり ,年間休日数 113日,,"
https://job-medley.com/cw/hw/5228190/"
独立行政法人国立病院機構豊橋医療センター,愛知県豊橋市飯村町字浜道上５０,"愛知県豊橋市飯村町字浜道上５０
豊橋鉄道東田本線 運動公園前駅から徒歩で28分","重症心身障害者（児）病棟での保育士業務
◇ハローワークの紹介状が必要です。",,"月給 209,626円 〜 370,872円",,"通勤手当：月額 55,000円 55000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)9時00分〜17時45分 休憩60分 時間外勤務：なし ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5816335/"
社会福祉法人福島県福祉事業協会いわき事業所,福島県いわき市四倉町細谷字御厩１３−３,"福島県いわき市四倉町細谷字御厩１３−３
JR常磐線(いわき～仙台) 草野駅から徒歩で25分","障がい児の支援業務を行っていただきます。
主に、作業訓練支援や生活介護支援業務となります。
＊利用者２５名
＊担当制で１人４名程度の支援を行います。",,"月給 209,600円 〜 226,800円",,"通勤手当：月額 24,500円 毎月 月額まで マイカー通勤可否：可 無料駐車場有り 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時15分〜17時15分 (3)9時30分〜18時30分 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5506341/"
社会福祉法人南野育成園,岡山県岡山市北区北長瀬表町２－１４－２５,"岡山県岡山市北区北長瀬表町２－１４－２５
JR山陽本線(岡山～三原) 北長瀬駅から徒歩で13分
JR伯備線 北長瀬駅から徒歩で13分
JR吉備線 大安寺駅から徒歩で23分",児童養護施設である当園で生活をしている満２歳～１８歳までの児童の生活支援が主たる仕事です。＊病院・児童福祉施設への送迎あり。（軽四、普通車使用）＊通勤求人（職員居宅あり）ですが、住込みも相談に応じます。＊敷地・施設内禁煙です。＊就業時間については補足事項欄をご覧ください。,,"月給 209,540円 〜 231,091円",,"通勤手当： 毎月 20,900円まで マイカー通勤可否：可 昇給： 賞与：あり ",勤務形態は、９種類あります。午前８時～１２時、午後１時～５時、午後５時～９時の４時間勤務も併用できます。 休憩390分 時間外勤務：あり ,年間休日数 119日,,"
https://job-medley.com/cw/hw/5801366/"
社会福祉法人よいち福祉会にき保育園,北海道余市郡仁木町西町１丁目５２番地,"北海道余市郡仁木町西町１丁目５２番地
JR函館本線(長万部～小樽) 仁木駅から徒歩で9分","◎０歳から５歳児までの保育業務全般＊複数担任の中に入っていただくことになります。＊園児数：定員
６０名、現員
６８名◇勤務時間帯については希望に応じますので、面接時にご相談ください。◇雇用期間は、令和６年３月３１日までとなっていますが、状況により更新あり。",,"月給 209,500円 〜 214,500円",,"通勤手当： 毎月 15,700円まで マイカー通勤可否：可 昇給： 賞与：なし ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)9時00分〜18時00分 希望により勤務時間の調整も可能（基本は１日８時間勤務） 休憩60分 時間外勤務：あり ,年間休日数 114日,,"
https://job-medley.com/cw/hw/5828789/"
社会福祉法人日新福祉会すみれ保育園,沖縄県与那原町字板良敷１４２５,"沖縄県与那原町字板良敷１４２５
ゆいレール 首里駅から車で17分","☆乳幼児の保育（０歳〜５歳児
１００名）
・日誌、連絡帳の記入・年間指導計画・見守り、行事等対応
・授乳、食事、おむつ交換等",,"月給 209,500円",,"通勤手当：月額 10,000円 毎月 月額まで マイカー通勤可否：可 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)8時30分〜17時30分 休憩60分 時間外勤務：あり ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5303966/"
社会福祉法人紫峰会すみれ保育園,東京都町田市木曽東２－８－１,"東京都町田市木曽東２－８－１
JR横浜線 古淵駅から徒歩で10分","・０歳～５歳児の園児の保育、保護者対応等
クラス担任として配置します。
（定員９０名）＊子どもの好きな方、保育に意欲のある方募集します。",,"月給 209,475円 〜 221,650円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時30分〜17時15分 (2)7時00分〜15時45分 (3)10時15分〜19時00分 （２）早番（３）遅番 休憩45分 時間外勤務：あり ,年間休日数 124日,,"
https://job-medley.com/cw/hw/5881091/"
社会福祉法人馬島福祉会,神奈川県川崎市川崎区日ノ出２−７−１,"神奈川県川崎市川崎区日ノ出２−７−１
京急大師線 小島新田駅から徒歩で9分
京急大師線 大師橋駅から徒歩で12分
京急大師線 東門前駅から徒歩で18分","★川崎区にある定員６０人の認可保育園です。
０歳児６人、１歳児１０人、２〜５歳児は各１１人、
少人数クラスの保育ができます。
「ひとりひとりの子どもとゆっくり関わりたい。」
「お年寄りと子どもたちのふれあいに関心がある。」
「地域からも親しまれる園づくりをしたい。」
年齢・経験は問いません。
あなたの持ち味を活かして楽しく保育しませんか。
＜就職支度金＞
はじめの給与で２０万円を支給します。（経験１年未満は１０万）",,"月給 209,400円 〜 260,000円",,"通勤手当：月額 32,000円 32000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時30分〜17時30分 (3)10時00分〜19時00分 シフト制 休憩60分 時間外勤務：あり ,年間休日数 121日,,"
https://job-medley.com/cw/hw/5821308/"
社会福祉法人馬島福祉会,神奈川県川崎市川崎区日ノ出２−７−１,"神奈川県川崎市川崎区日ノ出２−７−１
京急大師線 小島新田駅から徒歩で9分
京急大師線 大師橋駅から徒歩で12分
京急大師線 東門前駅から徒歩で18分","★定員９０人の認可保育園です。
０歳児６人、１歳児１０人、２歳児１４人、
３・４・５歳児各２０人。
「ひとりひとりの子どもとゆっくり関わりたい。」
「お年寄りと子どもの世代間交流をしてみたい。」
年齢・経験は問いません。
和太鼓演奏、体操教室、手作り絵本の創作などあなたの持ち味を
活かして楽しく保育をしませんか。
＜就職支度金＞はじめの給与時に２０万円を支給します。
（経験１年未満の方は１０万円）",,"月給 209,400円 〜 260,000円",,"通勤手当：月額 32,000円 32000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時30分〜17時30分 (3)10時00分〜19時00分 シフト制 休憩60分 時間外勤務：あり ,年間休日数 121日,,"
https://job-medley.com/cw/hw/5821304/"
社会福祉法人大阪キリスト教社会館大阪市立千島保育所,大阪府大阪市大正区千島２−４−３８,"大阪府大阪市大正区千島２−４−３８
南海汐見橋線 津守駅から徒歩で25分
南海汐見橋線 木津川駅から徒歩で24分
南海汐見橋線 芦原町駅から車で9分","保育全般に関わっていただきます。
子どもの安全を守り、困り事に耳を傾け、寄り添った保育をしていただける方、お待ちしています。",,"月給 209,400円",,"通勤手当：月額 25,000円 25000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)9時00分〜17時00分 (2)8時30分〜16時30分 シフト制 休憩60分 時間外勤務：あり ,年間休日数 89日,,"
https://job-medley.com/cw/hw/5799963/"
社会福祉法人光彩会杉戸中央みちのこ保育園,埼玉県北葛飾郡杉戸町杉戸３丁目９－３,"埼玉県北葛飾郡杉戸町杉戸３丁目９－３
東武伊勢崎線 東武動物公園駅から徒歩で5分
東武日光線 東武動物公園駅から徒歩で5分","◎令和５年４月に開園した「杉戸中央みちのこ保育園」における
保育士の募集です。＊０歳児～５歳児
定員９０名＊休みが充実！
年間休日１２７日（内リフレッシュ休暇７日）＋年次有給休暇＊充実の研修体制でキャリアアップを全力でサポート！",,"月給 209,360円 〜 239,360円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)8時30分〜17時30分 （４）　９時００分～１８時００分（５）　９時３０分～１８時３０分（６）１０時００分～１９時００分＊（１）～（６）のシフト制 休憩60分 時間外勤務：あり ,年間休日数 127日,,"
https://job-medley.com/cw/hw/5853889/"
社会福祉法人コアキューピット福祉会スターキューピット保育園,兵庫県明石市二見町東二見７９９番地５,"兵庫県明石市二見町東二見７９９番地５
山陽電鉄本線 東二見駅から徒歩で7分
山陽電鉄本線 西二見駅から徒歩で19分","○乳幼児の保育（定員
１９名）業務※月～土曜日の（７時～１９時の間で４時間程度）ローテーション
勤務※就業時間・出勤日等は相談に応じます。※ハローワークを通じてご応募下さい。
「保育」",,"月給 209,140円 〜 211,260円",,"通勤手当： 毎月 15,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)10時00分〜19時00分 ※上記時間内でのローテーション勤務 休憩60分 時間外勤務：なし ,年間休日数 125日,,"
https://job-medley.com/cw/hw/5835341/"
社会福祉法人さかえ福祉会幼保連携型さかえこども園,宮崎県都城市高城町穂満坊２５５３‐５１,"宮崎県都城市高城町穂満坊２５５３‐５１
JR日豊本線(佐伯～鹿児島中央) 山之口駅から車で8分","※乳幼児の保育・教育業務を行っていただきます。
＊未経験、ブランクのある方でも大歓迎
＊産前産後・育児休暇等取得実績有
＊子育てと仕事の両立がしやすい職場です",,"月給 209,038円 〜 216,043円",,"通勤手当：月額 11,300円 11300 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",実働は７時間４５分です　勤務時間は相談に応じます 休憩60分 時間外勤務：なし ,年間休日数 96日,,"
https://job-medley.com/cw/hw/5877491/"
社会福祉法人神奈川民間保育園協会わかばの杜保育園,神奈川県川崎市高津区子母口３７８,"神奈川県川崎市高津区子母口３７８
JR南武線 武蔵中原駅から徒歩で20分
JR南武線 武蔵新城駅から徒歩で19分",＊平成２６年４月公立民営化された認可保育園です。＊広い園庭の樹々には実がなり、子供たちは色々な野菜を育てています。＊季節の行事、園外活動、多くの経験から子供たちの豊かな人間性の育ちを目指します。＊フリー又は担任保育士として、子供たちの成長の手助け指導を行って頂きます。＊あなたのアイデア・力を、行事や保育の中で最大限に生かし発揮して下さい。,,"月給 209,026円 〜 278,336円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",(1)8時30分〜17時15分 シフト制 休憩45分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5786989/"
特定非営利活動法人札幌ベビールーム,北海道札幌市中央区大通西１２丁目４番地,"北海道札幌市中央区大通西１２丁目４番地
札幌市営地下鉄東西線 西１１丁目駅から徒歩で2分
札幌市電山鼻線 中央区役所前駅から徒歩で5分
札幌市電山鼻線 西１５丁目駅から徒歩で4分",保育業務全般保育担任業務＊園児（定員６０名）＊平成３１年４月１日に開園＊令和５年４月に認定こども園に移行しました（定員７０名）＊休み希望、勤務開始日は相談に応じます＊現在２０代から６０代の保育士が活躍中です＊子育て中の方の応募も歓迎＊長期勤務できる方歓迎,,"月給 209,000円 〜 219,000円",,通勤手当： マイカー通勤可否：不可 昇給： 賞与：あり ,休憩60分 時間外勤務：あり ,年間休日数 119日,,"
https://job-medley.com/cw/hw/5866784/"
株式会社テノ．コーポレーション大阪支店,大阪府大阪市中央区谷町２－２－２２ＮＳビル８階,"大阪府大阪市中央区谷町２－２－２２ＮＳビル８階
大阪メトロ谷町線 天満橋駅から徒歩で3分
京阪本線 天満橋駅から徒歩で6分
京阪中之島線 天満橋駅から徒歩で6分","保育に関する業務全般・戸外活動・室内活動・食事・業務関連書類の作成・保育計画の作成・行事の企画運営
など",,"月給 209,000円 〜 213,600円",,"通勤手当： 毎月 25,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 114日,,"
https://job-medley.com/cw/hw/5867160/"
株式会社テノ．コーポレーション大阪支店,大阪府大阪市中央区谷町２－２－２２ＮＳビル８階,"大阪府大阪市中央区谷町２－２－２２ＮＳビル８階
大阪メトロ谷町線 天満橋駅から徒歩で3分
京阪本線 天満橋駅から徒歩で6分
京阪中之島線 天満橋駅から徒歩で6分","保育に関する業務全般・戸外活動・室内活動・食事・業務関連書類の作成・保育計画の作成・行事の企画運営
など",,"月給 209,000円 〜 213,600円",,"通勤手当： 毎月 25,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 114日,,"
https://job-medley.com/cw/hw/5867159/"
社会福祉法人くすの樹会銀杏保育園,神奈川県横浜市戸塚区秋葉町１４７番地１,"神奈川県横浜市戸塚区秋葉町１４７番地１
JR横須賀線 東戸塚駅から徒歩で25分
JR湘南新宿ライン 東戸塚駅から徒歩で25分",保育業務全般＊乳幼児（０～５才児）の保育並びに保育環境の構築、構成を通して心豊かで逞しい子供を育てる。＊定員：６０名＊育児担当制・異年齢児保育を実施,,"月給 209,000円 〜 219,000円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",シフト制※勤務時間帯複数あり 休憩60分 時間外勤務：あり ,年間休日数 115日,,"
https://job-medley.com/cw/hw/5838850/"
社会福祉法人たんぽぽ福祉会,大阪府枚方市中宮北町１０－１４枚方たんぽぽ保育園,"大阪府枚方市中宮北町１０－１４枚方たんぽぽ保育園
京阪本線 御殿山駅から徒歩で16分
京阪交野線 宮之阪駅から徒歩で21分
京阪本線 枚方市駅から徒歩で22分","◎令和６年４月開園の新保育所の求人です。＊新園舎は令和７年完成予定、令和６年４月からは仮園舎での
勤務になります。（枚方市村野高見台２１３０番３）●乳幼児の保育とそれにかかわる打合せ、保護者との懇談●乳幼児の生活援助、遊びの指導等●保育計画の作成にかかわる補助●保育施設内の清掃や片付け等●保育の記録作成＊９０名定員の保育所の保育業務です。＊服装は自由です。制服はありません。",,"月給 209,000円 〜 230,000円",,"通勤手当： 毎月 50,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",「又は」の間の７．５時間勤務　シフト制 休憩60分 時間外勤務：あり ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5808104/"
社会福祉法人光栄寺福祉会幼保連携型認定こども園諏訪こども学園,大阪府大阪市城東区諏訪１丁目８番５号,"大阪府大阪市城東区諏訪１丁目８番５号
学研都市線 放出駅から徒歩で9分
おおさか東線 放出駅から徒歩で9分
大阪メトロ中央線 深江橋駅から徒歩で15分","◆乳幼児の保育全般（０～５歳児）・４０名ほどの保育士が活躍中。・元気いっぱいのこども園作りをしております。
※勤務開始日は相談に応じます（４月からでも可能です。）※新卒・第二新卒の方も歓迎します",,"月給 209,000円 〜 280,000円",,通勤手当： マイカー通勤可否：不可 昇給： 賞与：あり ,(1)9時00分〜17時00分 (2)8時00分〜16時00分 (3)8時30分〜16時30分 （４）１０時００分～１８時００分又は、９時～１７時の間の実働７時間１５分勤務 休憩45分 時間外勤務：あり ,年間休日数 113日,,"
https://job-medley.com/cw/hw/5807837/"
社会福祉法人あすなろ会,福井県福井市下馬３丁目５１１番地,"福井県福井市下馬３丁目５１１番地
九頭竜線 六条駅から徒歩で20分
JR北陸本線(米原～金沢) 越前花堂駅から徒歩で23分
九頭竜線 越前花堂駅から徒歩で23分","・保育室に入って、年齢や発達にあわせた遊びや活動、
生活等の体験を通した関わりの中で成長の援助を行います
・職員同士仲良く、楽しく働ける環境
・広々とした緑あふれる園庭、のびのびとした保育が特徴
・応募前の園見学、大歓迎！
・教育及び保育の一環として、英語・体操・スイミング教室を
行っています。
◎応募の際には、ハローワークで紹介状を受けてください。",,"月給 209,000円 〜 241,000円",,"通勤手当：月額 17,000円 17000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)8時30分〜17時15分 (2)7時00分〜16時15分 (3)8時30分〜19時00分 ＊土曜日は月１〜２回程度交替で出勤あります。 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5769902/"
合同会社ＬＯＶＥ＆ＰＥＡＣＥ,福岡県福岡市博多区冷泉町８－１７まるじんビル２０１,"福岡県福岡市博多区冷泉町８－１７まるじんビル２０１
福岡市営地下鉄七隈線 櫛田神社前駅から徒歩で6分
福岡市営地下鉄空港線 中洲川端駅から徒歩で5分
福岡市営地下鉄箱崎線 中洲川端駅から徒歩で5分",保育業務全般子どものお世話を中心に簡単な書類の記録保護者とのやりとり＊児童数：２０名（０歳～学童）夜勤では簡単な食材の温め・食器の片付け・子ども達の就寝後は園内の清掃や洗濯等があります。＊就寝中の乳幼児を抱える業務が可能な方,,"月給 209,000円 〜 242,000円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)16時00分〜2時00分 (2)17時00分〜3時00分 ＊（１）（２）いずれか選択も可＊（２）は休憩６０分 休憩120分 時間外勤務：あり ,年間休日数 117日,,"
https://job-medley.com/cw/hw/5753691/"
特定非営利活動法人札幌ベビールーム,北海道札幌市中央区大通西１２丁目４番地,"北海道札幌市中央区大通西１２丁目４番地
札幌市営地下鉄東西線 西１１丁目駅から徒歩で2分
札幌市電山鼻線 中央区役所前駅から徒歩で5分
札幌市電山鼻線 西１５丁目駅から徒歩で4分",保育業務全般＊園児（定員６０名）＊平成３１年４月１日に開園＊令和５年４月１日より認定こども園に移行しました＊休み希望等相談に応じます＊勤務開始日は応相談＊現在２０代から６０代の保育士が活躍中です＊長期勤務できる方歓迎,,"月給 209,000円 〜 235,000円",,通勤手当： マイカー通勤可否：不可 昇給： 賞与：あり ,休憩60分 時間外勤務：あり ,年間休日数 119日,,"
https://job-medley.com/cw/hw/5745352/"
株式会社スクルドアンドカンパニー,東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階,"東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階
都営浅草線 日本橋駅から徒歩で4分
東京メトロ銀座線 日本橋駅から徒歩で7分
東京メトロ東西線 日本橋駅から徒歩で7分","【保育士正社員のお仕事です】定員１９名・０歳〜２歳の保育業務全般
・研修やキャリアアップ制度充実。まずは先輩たちがしっかりサポートします
・定員が少なめなので一人ひとりと向き合った保育が可能。
・リトミック・英語・体操・モンテッソーリなどは専門講師が担当。
保育士さんも学べる環境です。
・大きな行事は少なく、持ち帰り仕事やサービス残業はございません。
・各園に担当のスーパーバイザーがおり、人間関係や
仕事の悩み事などもお気軽に相談できます。
・保育・調理職員と協力しより良い保育園をつくって行きましょう。",,"月給 209,000円",,"通勤手当：月額 30,000円 毎月 月額まで マイカー通勤可否：可 無料駐車場完備※空き状況による 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)10時00分〜19時00分 休憩60分 時間外勤務：あり ,年間休日数 126日,,"
https://job-medley.com/cw/hw/5698138/"
社会福祉法人なみはや福祉会,大阪府大阪市天王寺区東高津町１２－１０大阪市立社会福祉センター内,"大阪府大阪市天王寺区東高津町１２－１０大阪市立社会福祉センター内
近鉄難波線 大阪上本町駅から徒歩で4分
近鉄大阪線 大阪上本町駅から徒歩で4分
大阪メトロ谷町線 谷町九丁目駅から徒歩で8分",・認可保育所の保育業務・※採用は令和５年１０月１日または令和６年４月１日からになります。,,"月給 208,980円 〜 217,448円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",(1)9時00分〜17時00分 ほか早出や遅出などシフトで勤務をしていただきます。１日７時間１５分勤務。園により開園時間変動あり。 休憩45分 時間外勤務：あり ,年間休日数 101日,,"
https://job-medley.com/cw/hw/5853304/"
日本赤十字社医療センター附属乳児院,東京都渋谷区広尾４−１−１,"東京都渋谷区広尾４−１−１
東京メトロ日比谷線 広尾駅から徒歩で3分
JR山手線 恵比寿駅から徒歩で22分
JR埼京線 恵比寿駅から徒歩で22分",乳児院における保育士業務（夜勤あり）,,"月給 208,920円 〜 252,240円",,"通勤手当：月額 55,000円 55000 マイカー通勤可否：不可 昇給：なし 賞与：あり ",１ヶ月単位の変形労働時間制による就業時間。以下のシフト参照。　（１）６時〜１４時４５分（２）８時００分〜１６時４５分、　（３）９時１５分〜１８時００分（４）１６時〜９時：休憩９０分 休憩60分 時間外勤務：あり ,年間休日数 121日,,"
https://job-medley.com/cw/hw/5861504/"
宗教法人実相寺明浄保育園,広島県福山市北吉津町５丁目５－３２,"広島県福山市北吉津町５丁目５－３２
山陽新幹線 福山駅から徒歩で19分
JR山陽本線(岡山～三原) 福山駅から徒歩で19分
JR福塩線 福山駅から徒歩で19分","・乳幼児の保育（主として３歳未満児の保育）
＜急募＞＊ハローワークの窓口でご相談の上、必ずハローワークの
紹介状の交付を受けていただくようお願いします。",,"月給 208,724円 〜 240,044円",,"通勤手当： 毎月 7,100円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時30分〜17時00分 (2)8時30分〜14時15分 （２）土曜日の勤務時間です。上記時間以外に早朝・延長保育あり・早朝保育　７：００から・延長保育　１９：００まで 休憩45分 時間外勤務：あり ,年間休日数 95日,,"
https://job-medley.com/cw/hw/5839766/"
